  (-7.986074318316840,0.000000000000000)   (-0.973214364704304,6.226600997308568)  (4.297636752320723,-24.128977411081088)   (12.706163083315417,4.163887125659438)
 (-0.973214364704304,-6.226600997308568)   (-3.400009018545272,0.000000000000000) (-10.774717079463996,-5.171202890924791)  (-8.766521537934544,23.420549890986833)
  (4.297636752320723,24.128977411081088)  (-10.774717079463996,5.171202890924791)    (7.248099729925469,0.000000000000000)   (5.170504282291914,13.016420016346504)
 (12.706163083315417,-4.163887125659438) (-8.766521537934544,-23.420549890986833)  (5.170504282291914,-13.016420016346504)    (4.137983606936643,0.000000000000000)
  (25.395478068601693,0.000000000000000)   (-0.837387533116594,5.812755199457682) (13.149676566210494,-19.965230648935294)   (-2.603602499270819,9.373152139165031)
 (-0.837387533116594,-5.812755199457682)   (11.154355974139621,0.000000000000000)   (5.014069958726395,-2.254746611790592)   (-4.264133684160797,6.825920028715999)
 (13.149676566210494,19.965230648935294)    (5.014069958726395,2.254746611790592)   (-9.263627500521398,0.000000000000000)   (-0.854701107047628,0.670973396192618)
 (-2.603602499270819,-9.373152139165031)  (-4.264133684160797,-6.825920028715999)  (-0.854701107047628,-0.670973396192618)  (-27.286206542219916,0.000000000000000)
  (12.288770781333992,0.000000000000000)   (9.163092328761852,-4.766910111861498)  (6.862558938261272,-17.930642412901437)    (7.021192345987132,9.376112363181358)
   (9.163092328761852,4.766910111861498)   (11.070030129741995,0.000000000000000)   (-9.439182979501774,4.773305000005253) (-11.384405694546372,-1.784381425735389)
  (6.862558938261272,17.930642412901437)  (-9.439182979501774,-4.773305000005253)    (7.424601709150806,0.000000000000000)   (15.189581004373733,0.163580206774462)
  (7.021192345987132,-9.376112363181358)  (-11.384405694546372,1.784381425735389)  (15.189581004373733,-0.163580206774462)  (-30.783402620226793,0.000000000000000)
    (5.997809349240920,0.000000000000000)    (0.938691905125650,13.161825922271100)   (-1.121386617689131,-4.214602382701740)  (-14.293715711840535,16.505293056347258)
  (0.938691905125650,-13.161825922271100)    (-5.768254846039344,0.000000000000000)  (-13.432918345732682,-3.985791857094767)   (0.498865431545020,-18.801869314561655)
   (-1.121386617689131,4.214602382701740)   (-13.432918345732682,3.985791857094767)    (-5.295432281685071,0.000000000000000)   (-18.519330278824930,9.089986790327834)
(-14.293715711840535,-16.505293056347258)    (0.498865431545020,18.801869314561655)  (-18.519330278824930,-9.089986790327834)     (5.065877778483495,0.000000000000000)
 (-22.396032046889390,0.000000000000000)   (2.009361929328077,-5.436778913214063)  (13.258290647030785,-6.252847704484602) (-19.629328681758787,-6.435206134472198)
   (2.009361929328077,5.436778913214063)   (-3.759863912598874,0.000000000000000)   (8.960613842691080,-2.152431521914440)  (-2.042563158964359,11.158681942733794)
  (13.258290647030785,6.252847704484602)    (8.960613842691080,2.152431521914440)   (13.505724320670470,0.000000000000000)    (8.544212695391459,0.249633838429033)
 (-19.629328681758787,6.435206134472198) (-2.042563158964359,-11.158681942733794)   (8.544212695391459,-0.249633838429033)   (12.650171638817793,0.000000000000000)
    (4.549199830034259,0.000000000000000)  (-7.469387549086289,-12.322740416178342)  (-6.681499597707019,-10.503176463767870)   (19.153420224006235,-3.918357198852473)
  (-7.469387549086289,12.322740416178342)    (-4.242876479803505,0.000000000000000)    (-7.750621630034690,7.579533199503302)   (-2.543421700763324,-1.992938154839001)
  (-6.681499597707019,10.503176463767870)   (-7.750621630034690,-7.579533199503302)    (11.609101375540864,0.000000000000000)  (-11.285852160013186,12.346568172579338)
   (19.153420224006235,3.918357198852473)    (-2.543421700763324,1.992938154839001) (-11.285852160013186,-12.346568172579338)   (-11.915424725771618,0.000000000000000)
  (24.000711841122967,0.000000000000000)  (-1.372587907120524,-4.707686258255240)   (1.664073506294045,-6.243193787430257) (13.168057361284276,-27.605295765564180)
  (-1.372587907120524,4.707686258255240)   (10.407435326090323,0.000000000000000)   (-3.941356068269963,4.607047482436078)   (16.714570936617281,6.554544392944226)
   (1.664073506294045,6.243193787430257)  (-3.941356068269963,-4.607047482436078)  (-20.036794006690233,0.000000000000000)    (9.491621825404920,4.716330011566227)
 (13.168057361284276,27.605295765564180)  (16.714570936617281,-6.554544392944226)   (9.491621825404920,-4.716330011566227)  (-14.371353160523056,0.000000000000000)
    (7.445603928285601,0.000000000000000)   (22.836540287595831,-0.893913662531649)    (18.551692150166073,7.975532258224107)    (20.992313034999882,5.776381542280631)
   (22.836540287595831,0.893913662531649)     (1.594873885683938,0.000000000000000)   (-0.136301571390669,-7.172291879065429) (-10.413345682905996,-14.794655551416764)
  (18.551692150166073,-7.975532258224107)    (-0.136301571390669,7.172291879065429)   (-17.940742875061096,0.000000000000000)   (15.968247945105162,15.466121971769476)
  (20.992313034999882,-5.776381542280631)  (-10.413345682905996,14.794655551416764)  (15.968247945105162,-15.466121971769476)     (8.900265061091557,0.000000000000000)
  (-3.377149651911636,0.000000000000000)   (0.710035418801868,11.815439935650173)  (-15.992269553389719,6.285314245568466)   (23.096980840641625,3.510292217329633)
 (0.710035418801868,-11.815439935650173)  (-12.199894800270088,0.000000000000000)   (-4.299904617496667,6.785655532980202)   (-8.478114503704374,6.928548515477350)
(-15.992269553389719,-6.285314245568466)  (-4.299904617496667,-6.785655532980202)  (-13.550210877832534,0.000000000000000)    (0.924945181846874,6.264174285172074)
 (23.096980840641625,-3.510292217329633)  (-8.478114503704374,-6.928548515477350)   (0.924945181846874,-6.264174285172074)   (29.127255330014257,0.000000000000000)
